Id,AvgMonthSteps,AvgMonthCal,SumDate,ActivityLevel
1503960366,12116.7419354839,1816.41935483871,31,High
1624580081,5743.90322580645,1483.35483870968,31,High
1644430081,7282.96666666667,2811.3,30,High
1844505072,2580.06451612903,1573.48387096774,31,Low
1927972279,916.129032258065,2172.8064516129,31,Low
2022484408,11370.6451612903,2509.96774193548,31,High
2026352035,5566.87096774194,1540.64516129032,31,High
2320127002,4716.87096774194,1724.16129032258,31,High
2347167796,9519.66666666667,2043.44444444444,18,High
2873212765,7555.77419354839,1916.96774193548,31,High
3372868164,6861.65,1933.1,20,High
3977333714,10984.5666666667,1513.66666666667,30,High
4020332650,2267.22580645161,2385.8064516129,31,Low
4057192912,3838.0,1973.75,4,Low
4319703577,7268.83870967742,2037.67741935484,31,High
4388161847,10813.935483871,3093.87096774194,31,High
4445114986,4796.54838709677,2186.1935483871,31,High
4558609924,7685.12903225806,2033.25806451613,31,High
4702921684,8572.06451612903,2965.54838709677,31,High
5553957443,8612.58064516129,1875.67741935484,31,High
5577150313,8304.43333333333,3359.63333333333,30,High
6117666160,7046.71428571429,2261.14285714286,28,High
6290855005,5649.55172413793,2599.62068965517,29,High
6775888955,2519.69230769231,2131.76923076923,26,Low
6962181067,9794.8064516129,1982.03225806452,31,High
7007744171,11323.4230769231,2544.0,26,High
7086361926,9371.77419354839,2566.35483870968,31,High
8053475328,14763.2903225806,2945.8064516129,31,High
8253242879,6482.15789473684,1788.0,19,High
8378563200,8717.70967741935,3436.58064516129,31,High
8583815059,7198.51612903226,2732.03225806452,31,High
8792009665,1853.72413793103,1962.31034482759,29,Low
8877689391,16040.0322580645,3420.25806451613,31,High
