ActivityDate,AvgHighSteps,AvgLowSteps,AvgHighCalories,AvgLowCalories,Day
01/05/2016,7899.48,1876.6,2268.0,2042.6,1
02/05/2016,8264.08333333333,1219.2,2336.33333333333,1983.2,2
03/05/2016,9828.83333333333,2462.2,2510.75,2181.0,3
04/05/2016,7489.5,3280.2,2272.375,2334.8,4
05/05/2016,9968.125,2793.0,2476.125,2122.0,5
06/05/2016,8586.91666666667,2240.2,2427.29166666667,2124.4,6
07/05/2016,8240.70833333333,1921.8,2327.91666666667,1854.2,7
08/05/2016,8020.52173913044,1465.5,2348.08695652174,2046.75,8
09/05/2016,9485.30434782609,1139.0,2399.13043478261,1970.75,9
10/05/2016,9145.04545454545,1386.5,2344.09090909091,1598.25,10
11/05/2016,8418.04761904762,1229.66666666667,2214.61904761905,2018.33333333333,11
12/04/2016,9183.11111111111,3978.66666666667,2400.66666666667,2345.83333333333,12
12/05/2016,4029.94444444444,196.666666666667,1153.16666666667,1056.0,13
13/04/2016,8182.44444444444,2772.0,2326.92592592593,2105.33333333333,14
14/04/2016,8849.96296296296,2764.83333333333,2407.07407407407,2128.33333333333,15
15/04/2016,8672.66666666667,2409.16666666667,2413.37037037037,2093.33333333333,16
16/04/2016,9902.25925925926,2074.4,2439.11111111111,2143.6,17
17/04/2016,7335.48148148148,1407.6,2288.51851851852,1920.2,18
18/04/2016,8870.59259259259,2639.4,2380.07407407407,2081.2,19
19/04/2016,9531.85185185185,39.4,2464.92592592593,1787.6,20
20/04/2016,9158.85185185185,2785.2,2420.0,2261.4,21
21/04/2016,9466.55555555556,1639.6,2512.33333333333,1933.4,22
22/04/2016,8446.59259259259,2045.2,2379.40740740741,2048.2,23
23/04/2016,9457.92592592593,2352.0,2444.2962962963,2142.6,24
24/04/2016,8591.77777777778,928.6,2363.81481481481,1900.6,25
25/04/2016,9156.40740740741,1325.2,2429.14814814815,1919.8,26
26/04/2016,8833.88888888889,2434.6,2375.07407407407,2095.4,27
27/04/2016,9509.40740740741,352.4,2415.37037037037,1859.8,28
28/04/2016,8427.92592592592,3088.4,2334.0,2219.2,29
29/04/2016,8185.51851851852,2656.0,2291.88888888889,2168.2,30
30/04/2016,9424.42307692308,2738.2,2408.03846153846,2196.6,31
